FTR Path,TechID,Order 1 Complete Date,Order 2 Complete Date,Sum of Days Between,Order 1 Job Type,Order 2 Job Type,Order 1 Completion Code,Order 2 Completion Code,Order 1 TIH,Order 2 TIH
Install-TC,I08X,7/4/2026,7/5/2026,1,2G - ALL IP COS,6T - RPT TC,CAO - CP AS ORDERED,U31 - RTM SVC AFF,70,91
TC-TC,7122,7/14/2026,7/14/2026,0,9H - HSD OUT,9H - HSD OUT,U12 - CUST NOT HOME,T24 - REPLACE CPE,33,80
TC-TC,I06I,6/20/2026,6/25/2026,5,9H - HSD OUT,6T - RPT TC,T24 - REPLACE CPE,T01 - DRP-OH DRP RPL,45,112
TC-TC,7077,6/26/2026,7/10/2026,14,9H - HSD OUT,6T - RPT TC,O01 - DRP-CONN REPL,U44 - REFER TO UG,106,93
TC-TC,I06I,6/18/2026,7/14/2026,26,9H - HSD OUT,6T - RPT TC,T24 - REPLACE CPE,O01 - DRP-CONN REPL,25,94
TC-TC,I08X,7/2/2026,7/14/2026,12,9W - VID OUT,6T - RPT TC,T53 - $IW-CABLE RPL,T24 - REPLACE CPE,52,91
Install-TC,7006,6/18/2026,6/28/2026,10,08 - CDV RC,6T - RPT TC,CAO - CP AS ORDERED,T22 - WRONG RATE CODE,137,123
Install-TC,7006,6/1/2026,6/26/2026,25,02 - CDV NC,6T - RPT TC,CAO - CP AS ORDERED,T24 - REPLACE CPE,74,28
TC-TC,I06I,6/26/2026,6/30/2026,4,6T - RPT TC,2I - CHR TC,T24 - REPLACE CPE,T25 - NON CPE SWAP,28,73
Install-TC,I08X,6/24/2026,6/30/2026,6,09 - HSD RC,6T - RPT TC,CAO - CP AS ORDERED,T53 - $IW-CABLE RPL,91,59
TC-TC,7122,6/14/2026,6/24/2026,10,9W - VID OUT,6T - RPT TC,T13 - DRP-SPLTTR RPLC,T12 - DRP-GND BLK RPL,28,53
TC-TC,7006,6/6/2026,6/25/2026,19,AO - HSD TC,6T - RPT TC,T05 - DRP-CUT DRP RPR,T01 - DRP-OH DRP RPL,53,99
TC-TC,I08X,7/1/2026,7/2/2026,1,AW - VIDEO TC,6T - RPT TC,T24 - REPLACE CPE,T24 - REPLACE CPE,138,87
TC-TC,I08X,5/25/2026,6/22/2026,28,AW - VIDEO TC,6T - RPT TC,U44 - REFER TO UG,O01 - DRP-CONN REPL,52,46
TC-TC,I08X,6/3/2026,6/23/2026,20,9W - VID OUT,6T - RPT TC,E03 - $CUST ED,T24 - REPLACE CPE,35,58
TC-TC,I08X,6/25/2026,6/29/2026,4,9H - HSD OUT,6T - RPT TC,E03 - $CUST ED,T24 - REPLACE CPE,40,97
TC-TC,7077,7/1/2026,7/8/2026,7,9H - HSD OUT,6T - RPT TC,O01 - DRP-CONN REPL,T24 - REPLACE CPE,42,197
TC-TC,7006,6/13/2026,7/7/2026,24,9H - HSD OUT,6T - RPT TC,T13 - DRP-SPLTTR RPLC,T24 - REPLACE CPE,72,66
TC-TC,7077,7/1/2026,7/13/2026,12,9W - VID OUT,6T - RPT TC,T24 - REPLACE CPE,AM9 - AMP REMOVED AMP,100,87
TC-TC,I08X,7/8/2026,7/9/2026,1,9W - VID OUT,6T - RPT TC,E03 - $CUST ED,T24 - REPLACE CPE,19,91
TC-TC,7122,6/28/2026,7/1/2026,3,9W - VID OUT,6T - RPT TC,AM9 - AMP REMOVED AMP,U44 - REFER TO UG,19,45
TC-TC,I08X,5/30/2026,6/22/2026,23,9W - VID OUT,6T - RPT TC,T34 - $CUST EQUP PRBM,T22 - WRONG RATE CODE,47,99
Install-TC,7006,6/15/2026,7/12/2026,27,09 - HSD RC,6T - RPT TC,CAO - CP AS ORDERED,T24 - REPLACE CPE,70,78
Install-TC,I08X,6/26/2026,7/4/2026,8,09 - HSD RC,6T - RPT TC,CAO - CP AS ORDERED,T24 - REPLACE CPE,68,31
TC-TC,I08X,6/15/2026,7/2/2026,17,9W - VID OUT,6T - RPT TC,T34 - $CUST EQUP PRBM,T24 - REPLACE CPE,84,84
TC-TC,I06I,6/25/2026,6/27/2026,2,AW - VIDEO TC,6T - RPT TC,T24 - REPLACE CPE,T22 - WRONG RATE CODE,82,65
TC-TC,I08X,6/3/2026,6/26/2026,23,GU - ALL IP TC,6T - RPT TC,E03 - $CUST ED,T25 - NON CPE SWAP,79,54
TC-TC,I06I,6/23/2026,6/25/2026,2,9W - VID OUT,6T - RPT TC,T24 - REPLACE CPE,T25 - NON CPE SWAP,28,64
